filename,text
TE_BABJI_000000001,nA prANAlu kApADukovaDAniki Ayananu vadilezA ఎssai subodh kAru Draivar
TE_BABJI_000000002,bhAratsaెrbiyA dvaipAkSika saMbaMdhAlu mariMta paTiSTaM  vaెMkayya nAyuDu
TE_BABJI_000000003,dazAbthAlugA pratyarthulugA unna vAriddarU bheTI ayyAru
TE_BABJI_000000004,sIIఎMlo udyogAlu
TE_BABJI_000000005,kAmaెrAn bAnkrAphTpai AsIs mAjI opaెnar maikaెl sleTar saMcalana vyAkhyalu
TE_BABJI_000000006,prAkTIs adiriMdi
TE_BABJI_000000007,ammA nAnnA smArT phon vadalaMDi mAto uMDaMDi
TE_BABJI_000000008,TIDIpI aMTe kesIArku bhayaM
TE_BABJI_000000009,rAjbhavanlo iphtAr viMdu
TE_BABJI_000000010,amma kaొTTiMdani Atmahatya cesukunnADu
TE_BABJI_000000011,yAcakurAliki aMtyakriyalu cesina ఎmmaెlye
TE_BABJI_000000012,phek Apharlanu ilA gurtiMcAli
TE_BABJI_000000013,bIsIsIaito rAjIki cAnse ledu
TE_BABJI_000000014,ఎMe bIIDI TaెT naెksT idenA
TE_BABJI_000000015,zrIzrI va jayaMti sabha
TE_BABJI_000000016,bhAratpAk myAclapai aphridi Asaktikara vyAkhyalu
TE_BABJI_000000017,bhAryanu gaొDDalito nariki bIఎsఎph javAn Atmahatya
TE_BABJI_000000018,gaెlupoTamulu guNapAThAlu
TE_BABJI_000000019,bAtrUMgadilo nakkiMdiఒkaveLa adi kanuka aTuvaipu vaెLlivuMTe
TE_BABJI_000000020,rAhulku Aro varusalo sITu
TE_BABJI_000000021,kalisaొccina kAlaM
TE_BABJI_000000022,Ser mArkaెT TreDiMgku paisA yAp
TE_BABJI_000000023,paMDuga prayANaM viSAdAMtaM
TE_BABJI_000000024,tAta kArulone vaెLlA
TE_BABJI_000000025,caMdrabAbupai prazaMsalu guppiMcina kaొMDru muraLi
TE_BABJI_000000026,nanne premiMcu ledaMTe caccipo
TE_BABJI_000000027,pApaM pasivADu maొttAniki batikADu
TE_BABJI_000000028,ATupoTlato mugiMpu
TE_BABJI_000000029,meniphaెsTola sAMskRtika bAdhyata
TE_BABJI_000000030,ATagALlanu vadilesi vaెLlipoyina ఎyiriMDiyA vimAnaM
TE_BABJI_000000031,aiTIbIpIlo udyogAlu
TE_BABJI_000000032,pracAraMleni siMgareNi vaidya pathakaM
TE_BABJI_000000033,khALIla bhartIki kAla parimiti kAvAli
TE_BABJI_000000034,vaccADaMDoy sAmimaMtriki pUjalu cAlIsAlu
TE_BABJI_000000035,aipIఎl kreje veru
TE_BABJI_000000036,mA kaLla muMde hatyaaMduke nenu pakkaku tappukunnA
TE_BABJI_000000037,neTi karNATakame repaTi bhArataM
TE_BABJI_000000038,rAhul gAMdhI paెLli guriMci jesI divAkarraెDDi kAmaెMTs
TE_BABJI_000000039,maMtri padavullo agra tAMbulaM ఎvariki
TE_BABJI_000000040,oDinAkvArTars kharAru
TE_BABJI_000000041,I mUDu kalistene zrIrAmanavami
TE_BABJI_000000042,kohlIpai nammakaM uMdi AzalannI atanipaine gaMgUlI
TE_BABJI_000000043,zivagArini visigiMcakUDadanukunnA maheSbAbu
TE_BABJI_000000044,raMgasthalaM  kaొTTADu
TE_BABJI_000000045,ఒkka sinimA pote caritra AgipotuMdA zaMkar
TE_BABJI_000000046,tAnu naDipina railulone buS aMtimayAtra
TE_BABJI_000000047,varmanu missavutunnA nAgArjuna
TE_BABJI_000000048,dharma dRDha baddhamUlo
TE_BABJI_000000049,nAlugu niyojaka vargAlapai TIArఎs zreNullo utkaMTha
TE_BABJI_000000050,soniyA gAMdhIto DIఎMke agra netala bheTI
TE_BABJI_000000051,lakSmIpArvatini kUrcaొbaెTTi aDagaMDi  zivAjI
TE_BABJI_000000052,nenu khairatAbAdlo gaెliste yuvataku dAsoju
TE_BABJI_000000053,mAru veSaMlo vaెLlinA mATu vesi caMpina ugravAdulu
TE_BABJI_000000054,maraNaMlonU vIDani baMdhaM
TE_BABJI_000000055,AsiyA kap bhArat vijayalakSyaM
TE_BABJI_000000056,pago jillA kaొyyalagUDaెM vAsulaku mATiccina pavan
TE_BABJI_000000057,kocpai mithAlI rAj saMcalana vyAkhyalu
TE_BABJI_000000058,kaొnasAgina paMgal saMcalanaM
TE_BABJI_000000059,rU lakSala viluvaina kArunu DimAMD cestunna  maMdi pratipakSa ఎmmaెlyelu
TE_BABJI_000000060,sabhaku namaskAraM ika ApaMDi dil rAju
TE_BABJI_000000061,bAboy anni bhASallonA
TE_BABJI_000000062,bhAratadezapu taొli kloniMg dunnapotu jananaM
TE_BABJI_000000063,samAjaMlo mArpunake vaisIpI nuMci phirAyiMcina ఎmmaెlyelapai piTiSan
TE_BABJI_000000064,viMDIs pradarzanapai harbhajan TvIT cIvATlu paెDutunna naెTijanlu
TE_BABJI_000000065,tIvra Arthika ibbaMdullo jiMbAbve krikaెT appu kosaM vaెtukulATa
TE_BABJI_000000066,gel kAdu kohlI aMTene bhayaM kuldIp yAdav
TE_BABJI_000000067,TUrisTula kosaM ArmI raెskyU ApareSan
TE_BABJI_000000068,rU koTla viluvaina nIrav Astula japtu
TE_BABJI_000000069,Agani joru
TE_BABJI_000000070,DijinvaెsTmaెMTku vilInAlu baibyAkle AdhAraM
TE_BABJI_000000071,AdhArasatyaM
TE_BABJI_000000072,udyogaM ippistAmani dopiDI
TE_BABJI_000000073,nAdeM ledu aMtA kurrALla gaొppataname draviD
TE_BABJI_000000074,AlU makhAnA sabji
TE_BABJI_000000075,sIఎM abhyarthini pArTIne nirNayistuMdi jIvan raెDDi
TE_BABJI_000000076,dharmAbAd korTu noTIsulu jArI cesiMdi vIrike
TE_BABJI_000000077,mUDu naెlalu kApuraM cezAmaMTunna anasUya
TE_BABJI_000000078,paెLli tarvAta phaొToni kUDA posT cesina zrInivAsaraెDDi
TE_BABJI_000000079,tej ailavyU ADiyo phaMkSanlo udvegabharita kSaNAlu
TE_BABJI_000000080,kuppakUlanunna cainA spes sTeSan vaNukutunna aidu dezAlu
TE_BABJI_000000081,jiyo dArilo bIఎsఎnఎl rojuku jIbI DeTA
TE_BABJI_000000082,eLlu lAkaina phon avAkkayina maొbail yUjar
TE_BABJI_000000083,daivAnugrahaM
TE_BABJI_000000084,maro prayogAtmaka pathakAniki polIs zAkha zrIkAraM
TE_BABJI_000000085,ఎlukalukalu
TE_BABJI_000000086,hAT keklA hyApI naెsT
TE_BABJI_000000087,A raMgunu vadiliMcaMDi
TE_BABJI_000000088,paMcAyatI saెkraTarI udyogAla bhartIki noTiphikeSan jArI
TE_BABJI_000000089,kIlaka maddatu sthAyiki ceruvalo
TE_BABJI_000000090,bhAratku ADakamuMde pAkisthAn tarapuna iMDiyAlo ADina sacin TaెMDUlkar
